UserID,Age_Group,Income_Level,Primary_Financial_Goal,Risk_Tolerance,Stocks,Bonds,Real Estate,Mutual Funds,ETFs,Cryptocurrency,Recommended_Strategy
303,36-45,Medium-High,Short-term Savings,Conservative,52,38,2,0,5,3,Low-Risk Preservation
304,18-25,Medium-Low,Home Purchase,Moderate-Conservative,97,0,0,1,1,1,Conservative Growth
305,56-65,Medium-High,Wealth Accumulation,Moderate-Aggressive,29,8,46,15,1,1,Aggressive Growth
306,26-35,Low,Retirement,Conservative,16,34,44,1,1,4,Low-Risk Preservation
307,65+,Medium-Low,Wealth Accumulation,Balanced,20,10,55,1,7,7,Balanced Growth
308,26-35,Medium,Short-term Savings,Balanced,23,65,8,3,1,0,Balanced Growth
309,26-35,Low,Wealth Accumulation,Moderate-Conservative,62,32,1,1,1,3,Conservative Growth
310,65+,Medium-Low,Wealth Accumulation,Moderate-Aggressive,61,22,2,15,0,0,Aggressive Growth
311,36-45,Medium,Wealth Accumulation,Moderate-Aggressive,64,14,4,15,2,1,Aggressive Growth
312,56-65,Low,Short-term Savings,Moderate-Aggressive,11,9,2,67,5,6,Aggressive Growth
313,18-25,Low,Wealth Accumulation,Moderate-Conservative,22,75,0,2,1,0,Conservative Growth
314,46-55,Medium-Low,Home Purchase,Moderate-Aggressive,36,55,2,6,1,0,Aggressive Growth
315,18-25,High,Short-term Savings,Balanced,65,34,0,1,0,0,Balanced Growth
316,46-55,Low,Wealth Accumulation,Conservative,77,23,0,0,0,0,Low-Risk Preservation
317,18-25,Low,Short-term Savings,Balanced,15,35,18,21,4,7,Balanced Growth
318,65+,Medium,Education,Balanced,77,4,13,2,4,0,Balanced Growth
319,56-65,Medium-High,Home Purchase,Conservative,35,11,17,21,16,0,Low-Risk Preservation
320,46-55,Medium-Low,Wealth Accumulation,Balanced,60,11,11,1,4,13,Balanced Growth
321,36-45,Medium-Low,Education,Moderate-Conservative,21,64,5,8,1,1,Conservative Growth
322,18-25,High,Education,Conservative,13,85,0,2,0,0,Low-Risk Preservation
323,18-25,High,Short-term Savings,Balanced,29,67,1,0,0,3,Balanced Growth
324,46-55,Medium-Low,Education,Aggressive,22,39,28,7,4,0,High-Risk Aggressive
325,36-45,High,Home Purchase,Balanced,52,40,1,0,3,4,Balanced Growth
326,36-45,Medium,Home Purchase,Moderate-Conservative,10,73,4,2,7,4,Conservative Growth
327,65+,Medium-Low,Retirement,Moderate-Aggressive,98,1,1,0,0,0,Aggressive Growth
328,65+,High,Home Purchase,Balanced,78,14,5,0,2,1,Balanced Growth
329,65+,Medium-Low,Education,Moderate-Aggressive,50,50,0,0,0,0,Aggressive Growth
330,65+,Medium-High,Home Purchase,Aggressive,70,18,1,3,8,0,High-Risk Aggressive
331,65+,Low,Short-term Savings,Balanced,22,78,0,0,0,0,Balanced Growth
332,65+,Medium-Low,Retirement,Conservative,39,29,27,5,0,0,Low-Risk Preservation
333,56-65,Low,Education,Moderate-Aggressive,51,23,22,1,0,3,Aggressive Growth
334,36-45,High,Retirement,Aggressive,30,33,13,5,17,2,High-Risk Aggressive
335,65+,Low,Education,Conservative,3,68,11,6,6,6,Low-Risk Preservation
336,36-45,Medium-Low,Short-term Savings,Conservative,9,89,2,0,0,0,Low-Risk Preservation
337,36-45,Medium-High,Retirement,Conservative,30,57,7,5,1,0,Low-Risk Preservation
338,26-35,High,Wealth Accumulation,Conservative,61,19,10,8,2,0,Low-Risk Preservation
339,56-65,Medium-Low,Education,Balanced,63,19,15,1,1,1,Balanced Growth
340,65+,High,Wealth Accumulation,Balanced,73,14,7,6,0,0,Balanced Growth
341,18-25,Medium,Retirement,Balanced,37,11,32,18,0,2,Balanced Growth
342,46-55,Low,Wealth Accumulation,Aggressive,71,19,1,8,0,1,High-Risk Aggressive
343,18-25,Medium,Wealth Accumulation,Aggressive,92,5,0,1,2,0,High-Risk Aggressive
344,56-65,Medium-Low,Retirement,Aggressive,74,0,19,7,0,0,High-Risk Aggressive
345,46-55,Medium-High,Short-term Savings,Moderate-Conservative,22,55,1,22,0,0,Conservative Growth
346,56-65,High,Wealth Accumulation,Aggressive,44,23,18,1,12,2,High-Risk Aggressive
347,36-45,Low,Wealth Accumulation,Balanced,1,88,1,9,1,0,Balanced Growth
348,46-55,High,Short-term Savings,Balanced,19,45,3,1,4,28,Balanced Growth
349,36-45,Medium-Low,Wealth Accumulation,Moderate-Conservative,40,32,24,0,0,4,Conservative Growth
350,18-25,High,Wealth Accumulation,Moderate-Conservative,41,34,21,4,0,0,Conservative Growth
351,18-25,Low,Wealth Accumulation,Aggressive,32,49,4,6,6,3,High-Risk Aggressive
352,46-55,Medium-Low,Home Purchase,Moderate-Aggressive,80,0,9,0,3,8,Aggressive Growth
353,46-55,High,Short-term Savings,Moderate-Conservative,53,2,44,0,0,1,Conservative Growth
354,65+,Medium-High,Wealth Accumulation,Conservative,97,2,0,0,0,1,Low-Risk Preservation
355,56-65,Medium-Low,Short-term Savings,Balanced,48,15,27,2,0,8,Balanced Growth
356,65+,Medium-Low,Education,Conservative,23,71,6,0,0,0,Low-Risk Preservation
357,56-65,Medium-High,Education,Balanced,58,8,11,15,0,8,Balanced Growth
358,65+,Medium,Wealth Accumulation,Balanced,42,34,19,1,2,2,Balanced Growth
359,36-45,Low,Short-term Savings,Moderate-Conservative,81,2,12,5,0,0,Conservative Growth
360,46-55,Medium,Short-term Savings,Moderate-Conservative,75,24,0,0,1,0,Conservative Growth
361,18-25,High,Short-term Savings,Conservative,30,49,15,2,3,1,Low-Risk Preservation
362,56-65,Medium-High,Home Purchase,Balanced,98,2,0,0,0,0,Balanced Growth
363,56-65,Medium,Education,Conservative,25,72,1,0,1,1,Low-Risk Preservation
364,18-25,Medium-Low,Short-term Savings,Moderate-Aggressive,72,6,8,2,0,12,Aggressive Growth
365,65+,High,Short-term Savings,Conservative,38,10,16,34,0,2,Low-Risk Preservation
366,56-65,High,Home Purchase,Aggressive,45,7,17,18,5,8,High-Risk Aggressive
367,36-45,Medium,Home Purchase,Conservative,86,9,1,0,0,4,Low-Risk Preservation
368,46-55,Medium,Short-term Savings,Aggressive,71,12,4,0,13,0,High-Risk Aggressive
369,18-25,Medium-High,Retirement,Aggressive,10,26,28,12,10,14,High-Risk Aggressive
370,46-55,Low,Short-term Savings,Aggressive,81,11,8,0,0,0,High-Risk Aggressive
371,56-65,Medium,Short-term Savings,Moderate-Aggressive,44,35,0,2,8,11,Aggressive Growth
372,56-65,Medium,Home Purchase,Conservative,77,4,2,7,0,10,Low-Risk Preservation
373,18-25,Medium-Low,Home Purchase,Conservative,53,44,2,0,1,0,Low-Risk Preservation
374,36-45,High,Short-term Savings,Moderate-Aggressive,39,9,39,8,2,3,Aggressive Growth
375,26-35,Low,Short-term Savings,Balanced,78,20,2,0,0,0,Balanced Growth
376,18-25,Medium-Low,Short-term Savings,Moderate-Conservative,32,44,3,10,4,7,Conservative Growth
377,26-35,Medium-High,Home Purchase,Conservative,98,0,2,0,0,0,Low-Risk Preservation
378,65+,Medium-High,Short-term Savings,Moderate-Conservative,98,2,0,0,0,0,Conservative Growth
379,26-35,Medium,Short-term Savings,Moderate-Aggressive,57,20,15,0,1,7,Aggressive Growth
380,36-45,Medium,Wealth Accumulation,Balanced,3,30,57,2,8,0,Balanced Growth
381,65+,Medium-High,Retirement,Balanced,34,12,41,2,4,7,Balanced Growth
382,26-35,Medium,Education,Balanced,10,54,31,4,0,1,Balanced Growth
383,65+,Low,Retirement,Moderate-Aggressive,53,16,8,15,8,0,Aggressive Growth
384,26-35,Medium,Wealth Accumulation,Aggressive,7,36,3,9,11,34,High-Risk Aggressive
385,36-45,High,Education,Aggressive,49,24,18,9,0,0,High-Risk Aggressive
386,26-35,Medium,Short-term Savings,Moderate-Conservative,2,61,23,10,3,1,Conservative Growth
387,26-35,Medium-Low,Wealth Accumulation,Aggressive,13,79,8,0,0,0,High-Risk Aggressive
388,26-35,Low,Short-term Savings,Aggressive,21,61,2,8,5,3,High-Risk Aggressive
389,18-25,Medium-Low,Home Purchase,Balanced,49,6,8,30,5,2,Balanced Growth
390,18-25,Medium-Low,Wealth Accumulation,Balanced,34,59,6,0,1,0,Balanced Growth
391,18-25,High,Home Purchase,Moderate-Conservative,98,1,1,0,0,0,Conservative Growth
392,36-45,Low,Wealth Accumulation,Conservative,81,19,0,0,0,0,Low-Risk Preservation
393,65+,Low,Wealth Accumulation,Moderate-Conservative,77,23,0,0,0,0,Conservative Growth
394,56-65,Low,Home Purchase,Moderate-Conservative,73,18,4,4,1,0,Conservative Growth
395,26-35,Low,Education,Moderate-Aggressive,53,39,0,5,3,0,Aggressive Growth
396,26-35,Low,Retirement,Moderate-Aggressive,100,0,0,0,0,0,Aggressive Growth
397,36-45,High,Short-term Savings,Moderate-Conservative,14,41,36,0,4,5,Conservative Growth
398,26-35,Medium,Wealth Accumulation,Moderate-Conservative,71,12,11,0,2,4,Conservative Growth
399,18-25,Medium-Low,Short-term Savings,Moderate-Conservative,68,21,11,0,0,0,Conservative Growth
400,56-65,Low,Home Purchase,Aggressive,13,32,21,13,11,10,High-Risk Aggressive
401,46-55,Medium,Short-term Savings,Moderate-Aggressive,53,39,1,2,5,0,Aggressive Growth
402,26-35,Medium,Home Purchase,Moderate-Conservative,29,1,22,44,1,3,Conservative Growth
403,18-25,Medium-Low,Short-term Savings,Balanced,34,58,3,4,1,0,Balanced Growth
404,46-55,High,Retirement,Balanced,10,35,9,42,1,3,Balanced Growth
405,56-65,Medium-High,Retirement,Aggressive,57,16,23,1,0,3,High-Risk Aggressive
406,46-55,Medium-High,Retirement,Aggressive,58,11,11,3,1,16,High-Risk Aggressive
407,18-25,Medium,Retirement,Conservative,41,41,2,3,9,4,Low-Risk Preservation
408,65+,Medium-Low,Retirement,Conservative,85,11,3,1,0,0,Low-Risk Preservation
409,65+,Medium-High,Retirement,Conservative,17,42,33,6,2,0,Low-Risk Preservation
410,46-55,Medium,Home Purchase,Aggressive,40,3,22,4,26,5,High-Risk Aggressive
411,36-45,High,Wealth Accumulation,Aggressive,3,38,29,6,6,18,High-Risk Aggressive
412,46-55,Medium-High,Short-term Savings,Aggressive,46,4,10,7,7,26,High-Risk Aggressive
413,26-35,Medium,Retirement,Balanced,35,14,48,1,1,1,Balanced Growth
414,26-35,Medium,Home Purchase,Aggressive,68,10,5,10,3,4,High-Risk Aggressive
415,65+,Low,Home Purchase,Balanced,52,46,2,0,0,0,Balanced Growth
416,36-45,High,Home Purchase,Conservative,86,12,2,0,0,0,Low-Risk Preservation
417,18-25,Low,Wealth Accumulation,Conservative,1,49,42,2,3,3,Low-Risk Preservation
418,26-35,Medium-Low,Short-term Savings,Conservative,14,56,14,2,9,5,Low-Risk Preservation
419,65+,Low,Wealth Accumulation,Moderate-Conservative,60,23,7,9,1,0,Conservative Growth
420,56-65,Low,Education,Moderate-Conservative,74,7,14,0,0,5,Conservative Growth
421,65+,Medium-High,Home Purchase,Moderate-Aggressive,78,21,0,1,0,0,Aggressive Growth
422,26-35,Medium,Education,Moderate-Aggressive,14,19,34,1,1,31,Aggressive Growth
423,26-35,High,Retirement,Moderate-Aggressive,65,1,16,18,0,0,Aggressive Growth
424,65+,Low,Retirement,Moderate-Conservative,0,21,1,16,50,12,Conservative Growth
425,18-25,High,Wealth Accumulation,Moderate-Conservative,7,55,20,13,1,4,Conservative Growth
426,46-55,Low,Short-term Savings,Moderate-Aggressive,98,0,0,1,1,0,Aggressive Growth
427,26-35,Medium-Low,Education,Moderate-Aggressive,15,41,36,1,4,3,Aggressive Growth
428,65+,Low,Short-term Savings,Aggressive,59,19,20,1,1,0,High-Risk Aggressive
429,65+,Medium-High,Wealth Accumulation,Moderate-Aggressive,83,10,1,2,3,1,Aggressive Growth
430,36-45,Medium,Retirement,Aggressive,92,2,1,2,1,2,High-Risk Aggressive
431,46-55,Medium-Low,Short-term Savings,Balanced,6,80,7,7,0,0,Balanced Growth
432,56-65,Low,Short-term Savings,Moderate-Conservative,68,1,3,21,2,5,Conservative Growth
433,18-25,High,Retirement,Moderate-Aggressive,4,71,20,2,0,3,Aggressive Growth
434,56-65,Medium-Low,Education,Moderate-Conservative,55,33,8,1,3,0,Conservative Growth
435,46-55,Medium-Low,Retirement,Moderate-Conservative,39,53,0,6,0,2,Conservative Growth
436,46-55,Low,Short-term Savings,Moderate-Conservative,70,27,3,0,0,0,Conservative Growth
437,46-55,Medium-Low,Education,Balanced,67,16,10,0,3,4,Balanced Growth
438,56-65,High,Education,Conservative,86,7,4,3,0,0,Low-Risk Preservation
439,46-55,Medium-Low,Retirement,Moderate-Aggressive,59,5,20,3,11,2,Aggressive Growth
440,65+,High,Short-term Savings,Conservative,92,3,5,0,0,0,Low-Risk Preservation
441,56-65,Low,Wealth Accumulation,Conservative,83,3,8,5,1,0,Low-Risk Preservation
442,46-55,Medium,Short-term Savings,Conservative,70,3,22,2,3,0,Low-Risk Preservation
443,65+,Medium-Low,Home Purchase,Moderate-Conservative,9,41,28,10,5,7,Conservative Growth
444,36-45,Medium,Wealth Accumulation,Aggressive,96,2,2,0,0,0,High-Risk Aggressive
445,46-55,High,Education,Moderate-Conservative,57,1,25,9,7,1,Conservative Growth
446,56-65,Medium-Low,Wealth Accumulation,Moderate-Conservative,14,15,43,2,15,11,Conservative Growth
447,26-35,Medium-High,Education,Conservative,11,32,37,1,13,6,Low-Risk Preservation
448,46-55,Medium,Education,Moderate-Conservative,9,40,3,4,26,18,Conservative Growth
449,26-35,Medium-Low,Wealth Accumulation,Conservative,0,72,20,4,3,1,Low-Risk Preservation
450,65+,Medium,Education,Aggressive,28,44,24,3,0,1,High-Risk Aggressive
451,36-45,Medium-Low,Education,Moderate-Aggressive,59,18,18,5,0,0,Aggressive Growth
452,18-25,Low,Home Purchase,Conservative,39,51,3,7,0,0,Low-Risk Preservation
453,36-45,Medium,Short-term Savings,Aggressive,60,34,4,0,0,2,High-Risk Aggressive
454,46-55,Medium-High,Short-term Savings,Moderate-Aggressive,48,28,7,7,2,8,Aggressive Growth
455,26-35,Medium-High,Home Purchase,Balanced,40,40,13,1,6,0,Balanced Growth
456,26-35,High,Wealth Accumulation,Conservative,74,18,4,3,1,0,Low-Risk Preservation
457,56-65,Medium-Low,Retirement,Conservative,45,42,6,4,0,3,Low-Risk Preservation
458,26-35,Medium,Retirement,Balanced,88,4,6,0,1,1,Balanced Growth
459,56-65,High,Retirement,Balanced,78,8,8,4,1,1,Balanced Growth
460,65+,Medium,Home Purchase,Conservative,5,37,9,6,19,24,Low-Risk Preservation
461,18-25,Medium-Low,Home Purchase,Balanced,2,76,16,1,0,5,Balanced Growth
462,46-55,Medium-High,Education,Moderate-Conservative,20,68,9,2,0,1,Conservative Growth
463,56-65,Low,Retirement,Moderate-Aggressive,80,10,2,2,6,0,Aggressive Growth
464,18-25,Medium-High,Wealth Accumulation,Moderate-Aggressive,91,3,3,2,1,0,Aggressive Growth
465,26-35,High,Wealth Accumulation,Moderate-Aggressive,24,16,23,21,12,4,Aggressive Growth
466,26-35,Low,Retirement,Moderate-Conservative,35,20,17,14,4,10,Conservative Growth
467,18-25,High,Retirement,Balanced,77,4,1,3,10,5,Balanced Growth
468,26-35,Medium-Low,Retirement,Aggressive,66,23,11,0,0,0,High-Risk Aggressive
469,65+,Low,Home Purchase,Balanced,69,0,9,16,5,1,Balanced Growth
470,65+,High,Home Purchase,Conservative,56,7,10,22,1,4,Low-Risk Preservation
471,18-25,Medium-Low,Home Purchase,Moderate-Aggressive,100,0,0,0,0,0,Aggressive Growth
472,56-65,Medium-High,Short-term Savings,Balanced,68,31,1,0,0,0,Balanced Growth
473,56-65,Medium-Low,Wealth Accumulation,Aggressive,3,87,5,1,3,1,High-Risk Aggressive
474,18-25,Medium,Wealth Accumulation,Conservative,54,36,4,5,0,1,Low-Risk Preservation
475,56-65,Medium-Low,Education,Moderate-Conservative,65,5,17,6,5,2,Conservative Growth
476,56-65,Medium-Low,Home Purchase,Moderate-Conservative,93,3,0,2,2,0,Conservative Growth
477,65+,Medium,Short-term Savings,Aggressive,19,33,19,15,4,10,High-Risk Aggressive
478,56-65,High,Short-term Savings,Conservative,88,3,0,5,3,1,Low-Risk Preservation
479,36-45,High,Wealth Accumulation,Moderate-Aggressive,24,52,20,2,1,1,Aggressive Growth
480,46-55,Medium-Low,Home Purchase,Balanced,53,26,18,0,1,2,Balanced Growth
481,26-35,Medium,Education,Conservative,2,53,13,0,14,18,Low-Risk Preservation
482,36-45,Medium,Home Purchase,Moderate-Conservative,9,62,8,0,13,8,Conservative Growth
483,56-65,Medium-High,Retirement,Aggressive,88,9,3,0,0,0,High-Risk Aggressive
484,65+,High,Home Purchase,Aggressive,45,30,11,7,5,2,High-Risk Aggressive
485,18-25,Low,Retirement,Balanced,20,77,1,0,2,0,Balanced Growth
486,56-65,High,Retirement,Aggressive,85,3,0,1,8,3,High-Risk Aggressive
487,65+,High,Education,Aggressive,35,17,27,12,1,8,High-Risk Aggressive
488,46-55,Medium-High,Wealth Accumulation,Conservative,91,5,3,0,1,0,Low-Risk Preservation
489,56-65,Low,Home Purchase,Moderate-Aggressive,81,9,3,7,0,0,Aggressive Growth
490,18-25,Medium-High,Retirement,Balanced,21,75,0,4,0,0,Balanced Growth
491,65+,Low,Home Purchase,Conservative,91,5,1,3,0,0,Low-Risk Preservation
492,65+,Medium-Low,Wealth Accumulation,Moderate-Aggressive,50,5,9,35,0,1,Aggressive Growth
493,65+,Low,Wealth Accumulation,Conservative,87,13,0,0,0,0,Low-Risk Preservation
494,46-55,Medium-High,Short-term Savings,Conservative,24,59,8,9,0,0,Low-Risk Preservation
495,56-65,High,Wealth Accumulation,Aggressive,54,19,26,1,0,0,High-Risk Aggressive
496,46-55,Low,Education,Moderate-Aggressive,21,1,54,16,4,4,Aggressive Growth
497,26-35,Low,Retirement,Balanced,65,15,10,8,2,0,Balanced Growth
498,26-35,Medium,Short-term Savings,Balanced,69,13,8,5,2,3,Balanced Growth
499,56-65,High,Education,Moderate-Aggressive,12,63,13,9,0,3,Aggressive Growth
500,46-55,Medium-Low,Home Purchase,Aggressive,42,32,9,16,0,1,High-Risk Aggressive
501,18-25,Medium-High,Retirement,Moderate-Conservative,13,72,7,6,1,1,Conservative Growth
502,65+,Medium-Low,Wealth Accumulation,Conservative,28,56,12,4,0,0,Low-Risk Preservation
503,65+,High,Retirement,Aggressive,28,25,20,18,7,2,High-Risk Aggressive
504,56-65,Low,Home Purchase,Moderate-Aggressive,64,6,24,6,0,0,Aggressive Growth
505,26-35,Low,Short-term Savings,Conservative,14,68,14,4,0,0,Low-Risk Preservation
506,26-35,High,Short-term Savings,Balanced,92,3,0,2,0,3,Balanced Growth
507,65+,Low,Short-term Savings,Moderate-Conservative,71,27,2,0,0,0,Conservative Growth
508,56-65,Low,Wealth Accumulation,Balanced,34,12,28,0,2,24,Balanced Growth
509,46-55,Low,Education,Moderate-Aggressive,67,19,12,0,0,2,Aggressive Growth
510,26-35,Medium-High,Education,Conservative,52,25,14,6,2,1,Low-Risk Preservation
511,46-55,Medium-High,Retirement,Moderate-Aggressive,71,18,7,0,4,0,Aggressive Growth
512,26-35,Medium,Wealth Accumulation,Conservative,49,4,45,1,1,0,Low-Risk Preservation
513,26-35,Medium-Low,Short-term Savings,Aggressive,71,25,0,3,1,0,High-Risk Aggressive
514,36-45,High,Short-term Savings,Moderate-Conservative,100,0,0,0,0,0,Conservative Growth
515,26-35,High,Home Purchase,Aggressive,41,2,45,2,2,8,High-Risk Aggressive
516,18-25,High,Home Purchase,Aggressive,66,9,22,2,1,0,High-Risk Aggressive
517,56-65,Medium,Short-term Savings,Moderate-Aggressive,12,47,27,4,9,1,Aggressive Growth
518,56-65,Medium-High,Short-term Savings,Moderate-Conservative,61,29,0,7,1,2,Conservative Growth
519,46-55,Medium,Wealth Accumulation,Conservative,12,33,28,7,7,13,Low-Risk Preservation
520,26-35,High,Education,Conservative,18,1,71,7,2,1,Low-Risk Preservation
521,18-25,Medium-Low,Home Purchase,Balanced,91,7,1,0,1,0,Balanced Growth
522,46-55,Low,Education,Conservative,68,30,1,0,0,1,Low-Risk Preservation
523,36-45,Medium-High,Wealth Accumulation,Moderate-Aggressive,90,8,0,1,1,0,Aggressive Growth
524,46-55,Medium-High,Short-term Savings,Aggressive,23,45,22,4,0,6,High-Risk Aggressive
525,46-55,Medium,Education,Aggressive,42,0,58,0,0,0,High-Risk Aggressive
526,26-35,Medium-High,Short-term Savings,Aggressive,37,3,58,2,0,0,High-Risk Aggressive
527,36-45,High,Short-term Savings,Moderate-Conservative,99,1,0,0,0,0,Conservative Growth
528,46-55,High,Retirement,Conservative,48,40,9,2,0,1,Low-Risk Preservation
529,18-25,Medium,Education,Moderate-Aggressive,94,2,3,1,0,0,Aggressive Growth
530,18-25,High,Education,Moderate-Conservative,8,20,26,39,3,4,Conservative Growth
531,56-65,Medium-Low,Short-term Savings,Balanced,20,70,4,5,1,0,Balanced Growth
532,36-45,Medium,Wealth Accumulation,Moderate-Aggressive,37,45,12,6,0,0,Aggressive Growth
533,36-45,Medium-Low,Retirement,Moderate-Aggressive,21,54,8,7,3,7,Aggressive Growth
534,56-65,Low,Short-term Savings,Moderate-Aggressive,25,56,19,0,0,0,Aggressive Growth
535,46-55,Medium-Low,Home Purchase,Aggressive,72,20,3,3,0,2,High-Risk Aggressive
536,36-45,Low,Home Purchase,Moderate-Aggressive,59,1,4,5,23,8,Aggressive Growth
537,18-25,Low,Retirement,Conservative,31,23,0,30,2,14,Low-Risk Preservation
538,18-25,Medium-Low,Wealth Accumulation,Moderate-Aggressive,52,10,30,0,6,2,Aggressive Growth
539,26-35,Medium,Short-term Savings,Aggressive,66,9,1,11,13,0,High-Risk Aggressive
540,36-45,High,Education,Moderate-Aggressive,88,5,0,4,0,3,Aggressive Growth
541,46-55,High,Retirement,Balanced,54,46,0,0,0,0,Balanced Growth
542,56-65,Low,Wealth Accumulation,Balanced,58,27,2,8,4,1,Balanced Growth
543,56-65,Low,Education,Aggressive,95,0,2,3,0,0,High-Risk Aggressive
544,46-55,Medium,Home Purchase,Conservative,4,31,22,11,23,9,Low-Risk Preservation
545,65+,Medium-High,Home Purchase,Conservative,91,5,4,0,0,0,Low-Risk Preservation
546,26-35,Medium-Low,Education,Moderate-Conservative,66,33,0,0,1,0,Conservative Growth
547,56-65,Low,Retirement,Aggressive,16,70,1,10,2,1,High-Risk Aggressive
548,36-45,High,Home Purchase,Moderate-Aggressive,45,54,0,1,0,0,Aggressive Growth
549,26-35,Medium,Short-term Savings,Aggressive,29,16,44,7,2,2,High-Risk Aggressive
550,36-45,Medium-Low,Education,Moderate-Conservative,13,51,9,21,0,6,Conservative Growth
551,18-25,Medium,Education,Aggressive,19,48,26,5,2,0,High-Risk Aggressive
552,26-35,Medium-Low,Home Purchase,Aggressive,21,26,15,21,13,4,High-Risk Aggressive
553,56-65,Medium-Low,Retirement,Moderate-Conservative,24,46,18,1,0,11,Conservative Growth
554,26-35,Low,Short-term Savings,Conservative,78,3,10,3,2,4,Low-Risk Preservation
555,26-35,Medium,Retirement,Moderate-Aggressive,76,20,2,2,0,0,Aggressive Growth
556,26-35,Medium,Wealth Accumulation,Moderate-Conservative,77,0,18,1,1,3,Conservative Growth
557,65+,High,Wealth Accumulation,Balanced,14,13,8,11,35,19,Balanced Growth
558,26-35,High,Home Purchase,Conservative,60,40,0,0,0,0,Low-Risk Preservation
559,36-45,Low,Home Purchase,Balanced,79,12,7,0,1,1,Balanced Growth
560,18-25,Low,Home Purchase,Conservative,4,75,15,4,0,2,Low-Risk Preservation
561,46-55,Medium-High,Wealth Accumulation,Moderate-Aggressive,64,22,7,5,0,2,Aggressive Growth
562,26-35,High,Retirement,Moderate-Aggressive,42,19,5,16,11,7,Aggressive Growth
563,56-65,Medium-Low,Retirement,Aggressive,31,36,0,8,15,10,High-Risk Aggressive
564,26-35,Medium,Home Purchase,Balanced,62,24,2,2,0,10,Balanced Growth
565,56-65,Low,Short-term Savings,Conservative,100,0,0,0,0,0,Low-Risk Preservation
566,36-45,Medium,Retirement,Moderate-Aggressive,98,2,0,0,0,0,Aggressive Growth
567,56-65,Medium,Wealth Accumulation,Moderate-Conservative,24,42,30,1,1,2,Conservative Growth
568,46-55,Medium-High,Education,Moderate-Aggressive,84,6,8,2,0,0,Aggressive Growth
569,18-25,High,Education,Moderate-Conservative,91,9,0,0,0,0,Conservative Growth
570,56-65,Low,Education,Conservative,97,1,1,1,0,0,Low-Risk Preservation
571,56-65,Medium,Short-term Savings,Moderate-Aggressive,82,15,1,0,0,2,Aggressive Growth
572,18-25,Low,Home Purchase,Moderate-Aggressive,32,40,12,1,10,5,Aggressive Growth
573,46-55,Medium-Low,Wealth Accumulation,Conservative,46,25,21,0,1,7,Low-Risk Preservation
574,26-35,Medium-High,Short-term Savings,Moderate-Aggressive,91,0,8,0,0,1,Aggressive Growth
575,56-65,Medium-Low,Wealth Accumulation,Moderate-Conservative,85,7,6,1,0,1,Conservative Growth
576,18-25,Low,Wealth Accumulation,Moderate-Aggressive,37,34,22,0,5,2,Aggressive Growth
577,36-45,Low,Home Purchase,Balanced,63,15,18,2,2,0,Balanced Growth
578,18-25,High,Education,Aggressive,76,9,13,0,1,1,High-Risk Aggressive
579,36-45,Medium,Home Purchase,Moderate-Conservative,81,8,10,1,0,0,Conservative Growth
580,46-55,Medium,Short-term Savings,Balanced,97,3,0,0,0,0,Balanced Growth
581,26-35,Medium-Low,Short-term Savings,Conservative,54,45,0,1,0,0,Low-Risk Preservation
582,18-25,Medium-High,Short-term Savings,Moderate-Conservative,57,24,19,0,0,0,Conservative Growth
583,65+,Medium,Home Purchase,Aggressive,3,74,10,3,6,4,High-Risk Aggressive
584,56-65,High,Wealth Accumulation,Aggressive,72,4,17,4,2,1,High-Risk Aggressive
585,46-55,Medium-Low,Wealth Accumulation,Conservative,48,4,3,29,4,12,Low-Risk Preservation
586,18-25,Medium-Low,Retirement,Conservative,44,39,0,7,7,3,Low-Risk Preservation
587,56-65,High,Short-term Savings,Moderate-Conservative,52,15,13,12,2,6,Conservative Growth
588,18-25,Medium-High,Wealth Accumulation,Moderate-Aggressive,20,19,31,3,21,6,Aggressive Growth
589,36-45,High,Retirement,Conservative,43,55,2,0,0,0,Low-Risk Preservation
590,18-25,Medium-High,Wealth Accumulation,Moderate-Aggressive,5,66,17,3,3,6,Aggressive Growth
591,65+,High,Short-term Savings,Balanced,1,47,45,1,6,0,Balanced Growth
592,18-25,High,Education,Aggressive,57,32,4,5,1,1,High-Risk Aggressive
593,18-25,Low,Short-term Savings,Moderate-Aggressive,7,8,83,0,0,2,Aggressive Growth
594,65+,Medium-Low,Home Purchase,Aggressive,78,8,0,2,7,5,High-Risk Aggressive
595,46-55,High,Wealth Accumulation,Moderate-Aggressive,22,31,42,0,2,3,Aggressive Growth
596,18-25,High,Wealth Accumulation,Balanced,91,3,1,0,4,1,Balanced Growth
597,65+,Medium,Home Purchase,Conservative,90,7,2,0,1,0,Low-Risk Preservation
598,56-65,Medium-Low,Home Purchase,Balanced,50,13,34,1,0,2,Balanced Growth
599,36-45,Medium,Education,Conservative,56,21,4,10,1,8,Low-Risk Preservation
600,36-45,Medium-Low,Wealth Accumulation,Conservative,1,93,5,0,1,0,Low-Risk Preservation
601,18-25,Medium,Wealth Accumulation,Aggressive,23,10,61,3,2,1,High-Risk Aggressive
602,46-55,High,Education,Balanced,91,3,5,0,0,1,Balanced Growth
603,46-55,High,Retirement,Moderate-Aggressive,62,1,9,1,0,27,Aggressive Growth
604,56-65,Low,Education,Balanced,2,85,0,9,2,2,Balanced Growth
605,18-25,Medium,Short-term Savings,Aggressive,92,6,2,0,0,0,High-Risk Aggressive
